"Listing Number","Parcel ID","Short Address","Sold Price","SqFt - Living","Days On Market","SqFt - Total","List Price","Listing Date","Under Contract Date","Sold Date","Cancel Date","Expiration Date","Withdrawn Date","Temp Off Market Date","Subdivision","Under Contract Type","Statistical Listing Entry","Status","Status Change Date","Original List Price","Go Active Date","Expected Closing Date","Fallthrough Date"
"RX-10513330","73414419010050010","15561 Ocean Breeze Lane","5200000.00","4973.00","1048","7368.00","5900000.00","2019-03-15","2022-01-26","2022-02-15","","","","","PALM BEACH POINT","","N","C","2022-02-16","6995000.00","","2022-02-14",""
"RX-10593050","73414408010320040","1401 Pelham Road","1650000.00","3882.00","738","7264.00","1795000.00","2020-01-17","2022-01-24","2022-03-09","","","","","PADDOCK PARK 2 OF WELLINGTON","","N","C","2022-03-10","1925000.00","","2022-03-09",""
"RX-10618556","73414417010690060","14268 Belmont Trace","4700000.00","6159.00","688","10476.00","5199000.00","2020-04-24","2022-03-14","2022-03-30","","","","","SADDLE TRAIL PARK OF WELLINGTON","","N","C","2022-03-31","5495000.00","","2022-03-30",""
"RX-10659324","73414427000001010","4101 120th Avenue S","2300000.00","1397.00","537","2459.00","2500000.00","2020-09-26","2022-04-02","2022-04-29","","","","","The Meadows","","N","C","2022-04-29","2950000.00","2020-10-01","2022-04-29",""
"RX-10662197","73414419010020090","15661 Imperial Point Lane","4625000.00","4559.00","407","5652.00","5000000.00","2020-10-09","2022-01-07","2022-03-07","","","","","PALM BEACH POINT","","N","C","2022-03-08","5250000.00","","2022-03-07",""
"RX-10668087","73414417010850010","2617 Appaloosa Trail","4100000.00","3345.00","447","9513.00","4390000.00","2020-11-02","2022-01-24","2022-04-25","","","","","SADDLE TRAIL PARK OF WELLINGTON","","N","C","2022-04-26","5500000.00","","2022-03-25",""
"RX-10669957","73414418010010040","2095 Windsock Way","3000000.00","6048.00","415","8436.00","3195000.00","2020-11-09","2021-12-30","2022-03-01","","","","","WELLINGTON AERO CLUB OF THE LANDINGS AT WELLINGTON","","N","C","2022-03-02","3295000.00","","2022-03-02",""
"RX-10685731","73414429010000060","14470 Palm Beach Point Boulevard","3250000.00","2174.00","441","11208.00","3499000.00","2021-01-18","2022-04-04","2022-06-07","","","","","PALM BEACH POINT EAST","","N","C","2022-06-08","3995000.00","","2022-05-26",""
"RX-10689688","73414429010000470","14590 Palm Beach Point","5100000.00","6465.00","324","19222.00","5495000.00","2021-02-03","2021-12-24","2022-03-01","","","","","PALM BEACH POINT EAST","","N","C","2022-03-01","5495000.00","","2022-03-01",""
"RX-10691073","73414417010730020","2169 Appaloosa Trail","4780000.00","4394.00","0","8015.00","4850000.00","2021-02-08","","2022-04-26","","","","","SADDLE TRAIL PARK OF WELLINGTON","","N","C","2022-05-20","4850000.00","","",""
"RX-10693928","73414421010020060","13808 Fairlane Court","15500000.00","5585.00","357","8236.00","21000000.00","2021-02-19","2022-02-11","2022-04-29","","","","","MALLET HILL OF WELLINGTON COUNTRYPLACE","","N","C","2022-04-30","27950000.00","","2022-04-29",""
"RX-10700850","73414415020000070","12156 Longwood Green Drive","2750000.00","3567.00","209","4073.00","2980000.00","2021-03-18","2021-10-15","2022-01-01","","","","","LONGWOOD GREEN OF PALM BEACH POLO AND COUNTRY CLUB","","N","C","2022-01-10","2999999.00","2021-03-20","2021-11-22",""
"RX-10702725","73414415100000140","2968 Hurlingham Drive","7500000.00","8610.00","546","12249.00","8610000.00","2021-03-22","2022-09-19","2022-11-21","","","","","BRIDLE PATH OF P B POLO & COUNTRY CLUB","","N","C","2022-11-21","8999999.00","","2022-11-21",""
"RX-10708703","73414418010030070","15520 Bellanca Lane","1300000.00","5191.00","230","6474.00","1395000.00","2021-04-13","2021-12-06","2022-01-20","","","","","WELLINGTON AERO CLUB OF THE LANDINGS AT WELLINGTON","","N","C","2022-01-20","1495000.00","","2021-12-28",""
"RX-10708913","73414408010270020","14598 Halter Road","1285000.00","2933.00","203","4564.00","1500000.00","2021-04-16","2021-11-05","2022-01-14","","","","","PADDOCK PARK 2 OF WELLINGTON","","N","C","2022-01-14","1500000.00","","2021-12-30",""
"RX-10716836","73414415230000180","3080 Blue Cypress Lane","2295000.00","2798.00","182","3721.00","2295000.00","2021-05-17","2021-11-15","2022-05-25","","","","","BLUE CYPRESS REPL AT PALM BEACH POLO & COUNTRY CLUB","","N","C","2022-05-31","2295000.00","","2022-05-12",""
"RX-10716834","73414415230000120","3000 Blue Cypress Lane","2495000.00","3079.00","288","4119.00","2495000.00","2021-05-17","2022-03-01","2022-10-11","","","","","BLUE CYPRESS REPL AT PALM BEACH POLO & COUNTRY CLUB","","N","C","2022-10-13","2495000.00","","2022-05-31",""
"RX-10716835","73414415230000130","3016 Blue Cypress Lane","2862857.00","3079.00","313","4119.00","2795000.00","2021-05-17","2022-03-26","2022-08-15","","","","","BLUE CYPRESS REPL AT PALM BEACH POLO & COUNTRY CLUB","","N","C","2022-08-16","2795000.00","","2022-05-25",""
"RX-10716837","73414415230000190","3096 Blue Cypress Lane","2795000.00","2787.00","465","3700.00","2795000.00","2021-05-17","2022-08-25","2022-09-21","","","","","BLUE CYPRESS REPL AT PALM BEACH POLO & COUNTRY CLUB","","N","C","2022-09-28","2595000.00","","2022-09-26",""
"RX-10719050","73414409020370250","2060 Amesbury Circle","680000.00","2265.00","308","3201.00","775000.00","2021-05-25","2022-03-29","2022-04-28","","","","","GREENVIEW SHORES 2 OF WELLINGTON","","N","C","2022-05-03","775000.00","","2022-04-29",""
"RX-10723398","73414415180000160","12784 Mizner Way","3500000.00","6040.00","259","7698.00","3750000.00","2021-06-11","2022-02-25","2022-05-10","","","","","MIZNER ESTATES OF PALM BEACH POLO & COUN","","N","C","2022-05-13","3950000.00","","2022-04-01",""
"RX-10727087","73404413000003160","2265 Cotton Tail Drive","2800000.00","0.00","454","4598.00","3000000.00","2021-06-26","2022-09-23","2022-11-14","","","","","Rustic Ranches of Wellington","","N","C","2022-11-15","3500000.00","","2022-11-14",""
"RX-10728991","73414418010170020","15725 Boeing Court","1795000.00","5010.00","222","6542.00","1795000.00","2021-07-05","2022-02-15","2022-07-01","","","","","WELLINGTON AERO CLUB OF THE LANDINGS AT WELLINGTON","","N","C","2022-07-01","1795000.00","","2022-06-01",""
"RX-10730108","73414432000005080","5625 140th Avenue S","8150000.00","637.00","260","4275.00","9250000.00","2021-07-10","2022-03-27","2022-05-23","","","","","East of Palm Beach Point East","","N","C","2022-05-25","9250000.00","","2022-05-23",""
"RX-10732202","73414424050000640","3514 Collonade Drive","804000.00","3581.00","139","4589.00","799000.00","2021-07-19","2022-01-19","2022-03-09","","","","","Versailles","","N","C","2022-03-11","779000.00","","2022-02-25",""
"RX-10733854","73414418010130070","2685 Greenbriar Boulevard","2150000.00","6488.00","161","9056.00","2299999.00","2021-07-27","2022-02-06","2022-03-11","","","","","WELLINGTON AERO CLUB OF THE LANDINGS AT WELLINGTON","","N","C","2022-03-11","2299999.00","","2022-02-28",""
"RX-10733906","73414429010000430","14750 Palm Beach Point Boulevard","3700000.00","2648.00","254","9822.00","3849500.00","2021-07-27","2022-04-15","2022-07-08","","","","","PALM BEACH POINT EAST","","N","C","2022-07-12","3849500.00","","2022-07-06",""
"RX-10737214","73414332030240030","377 Squire Drive","1299000.00","4475.00","82","6605.00","1299999.00","2021-08-08","2022-03-16","2022-04-29","","","","","PADDOCK PARK 1 OF WELLINGTON","","N","C","2022-04-30","1499999.00","","2022-05-31",""
"RX-10738575","73414424050000350","3560 Birague Drive","728000.00","3350.00","93","4214.00","735000.00","2021-08-15","2021-11-21","2022-01-03","","","","","VERSAILLES","","N","C","2022-01-05","739900.00","","2022-01-03",""
"RX-10739807","73414419010090140","4600 Garden Point Trail","7500000.00","5684.00","202","8087.00","7250000.00","2021-08-20","2022-03-10","2022-04-26","","","","","PALM BEACH POINT","","N","C","2022-04-27","7950000.00","","2022-04-28",""
"RX-10740039","73414426010000820","4145 Bahia Isle Circle","700000.00","2442.00","167","3336.00","754900.00","2021-08-21","2022-02-04","2022-03-15","","","","","ISLES AT WELLINGTON","","N","C","2022-03-23","750000.00","","2022-03-31",""
"RX-10742632","73414421070000010","13250 Southfields Road","6750000.00","2852.00","81","3452.00","6900000.00","2021-09-01","2021-11-26","2022-01-05","","","","","Southfields","","N","C","2022-01-05","6900000.00","2021-09-06","2021-12-31",""
"RX-10743183","73414419010050290","15324 Sunnyland Lane","4350000.00","2304.00","235","3278.00","5250000.00","2021-09-03","2022-04-26","2022-08-10","","","","","PALM BEACH POINT","","N","C","2022-08-12","6500000.00","","2022-08-24",""
"AX-11097743","73414404010330010","614 Azure Avenue","529900.00","2117.00","93","","529900.00","2021-09-13","2021-12-15","2022-01-14","","","","","Sugar Pond Manor","","","C","2022-02-09","564300.00","","2022-01-14",""
"RX-10745055","73414411050080160","1740 Shower Tree Way","536000.00","1588.00","77","2215.00","545000.00","2021-09-13","2021-11-29","2022-01-10","","","","","EASTWOOD OF WELLINGTON 3","","N","C","2022-01-11","599000.00","","2022-01-10",""
"RX-10745857","73414407020120090","15680 Meadow Wood Drive","1010000.00","4413.00","77","5237.00","1099777.00","2021-09-15","2021-12-14","2022-01-28","","","","","MEADOW WOOD OF THE LANDINGS AT WELLINGTON","","N","C","2022-01-28","1697777.00","2021-09-28","2022-01-28",""
"RX-10746092","73414407060000740","1790 Corsica Drive","690000.00","2784.00","49","4035.00","750000.00","2021-09-17","2021-11-05","2022-01-05","","","","","LAKEFIELD OF THE LANDINGS AT WELLINGTON PL 3B","","N","C","2022-01-12","750000.00","","2021-11-19",""
"RX-10746245","73414427000007040","4568 130th Avenue S","1500000.00","1225.00","138","1715.00","1600000.00","2021-09-17","2022-02-02","2022-05-05","","","","","None","","N","C","2022-05-06","1600000.00","","2022-03-24",""
"RX-10747630","73424417020011970","3049 Hartridge Ter Terrace","790000.00","3667.00","119","4796.00","825000.00","2021-09-20","2022-01-17","2022-02-24","","","","","OLYMPIA 2","","N","C","2022-02-24","825000.00","2021-09-24","2022-03-01",""
"RX-10747407","73414417010680020","14134 Belmont Trace","4100000.00","4630.00","115","11480.00","4190000.00","2021-09-22","2022-02-24","2022-04-15","","","","","SADDLE TRAIL PARK OF WELLINGTON","","N","C","2022-04-22","4200000.00","","2022-04-01",""
"RX-10747398","73414404010510610","13976 Aster Avenue","435000.00","1613.00","57","2242.00","424900.00","2021-09-23","2021-12-07","2022-01-12","","","","","SUGAR POND MANOR OF WELLINGTON","","N","C","2022-01-12","424900.00","","2022-01-15",""
"RX-10748159","73414402030050380","12145 Big Cone Ct Court","537000.00","1876.00","51","2272.00","559000.00","2021-09-27","2021-12-31","2022-01-27","","","","","SOUTH SHORE 4 OF WELLINGTON","","N","C","2022-02-11","549000.00","2021-09-30","2022-02-01",""
"RX-10748066","73424408050000130","8408 Arima Lane","950000.00","3451.00","107","5107.00","995900.00","2021-09-27","2022-01-17","2022-05-27","","","","","VILLAGEWALK OF WELLINGTON 1","","N","C","2022-05-30","1160000.00","","2022-05-27",""
"RX-10751334","73414401020020070","10519 Galleria Street","620000.00","2811.00","91","3498.00","625000.00","2021-10-08","2022-01-13","2022-02-25","","","","","BLACK DIAMOND PH 1","","N","C","2022-02-28","635000.00","2021-10-14","2022-02-25",""
"RX-10751011","73424417020013490","9166 Delemar Court","900000.00","3963.00","59","5248.00","949900.00","2021-10-08","2021-12-24","2022-02-15","","","","","OLYMPIA","","N","C","2022-02-16","949900.00","2021-10-14","2022-01-26",""
"RX-10751104","73414407050000710","15710 Athens Terrace","970000.00","3126.00","135","4591.00","1100000.00","2021-10-09","2022-02-21","2022-04-22","","","","","LAKEFIELD OF THE LANDINGS AT WELLINGTON 3A","","N","C","2022-04-25","970000.00","","2022-04-01",""
"RX-10751749","73414403170090150","13139 Wax Wing Terrace","420000.00","1566.00","55","2139.00","419000.00","2021-10-12","2021-12-06","2022-01-07","","","","","EMERALD FOREST OF WELLINGTON","","N","C","2022-01-07","429000.00","","2021-01-06",""
"RX-10752443","73414403170030070","1112 Wild Cherry Lane","492000.00","1857.00","99","2580.00","519000.00","2021-10-12","2022-01-19","2022-03-15","","","","","EMERALD FOREST OF WELLINGTON","","N","C","2022-03-16","519000.00","","2022-02-28",""
"RX-10751799","73414403090130040","12742 Headwater Circle","715000.00","2839.00","65","4477.00","724500.00","2021-10-12","2021-12-20","2022-01-14","","","","","ISLAND OF WELLINGTON","","N","C","2022-01-18","724500.00","","2022-01-30",""
"RX-10752022","73414417010540010","2057 Appaloosa Trail","3800000.00","6053.00","172","9667.00","3900000.00","2021-10-14","2022-04-04","2022-05-06","","","","","SADDLE TRAIL PARK OF WELLINGTON","","N","C","2022-05-07","3900000.00","","2022-05-04",""
